utterance;level_0;level_1;level_2;tp;absatz;seq
Ähm kannst du mir Gerichte mit Spargel suchen mit möglichst vielen Milchprodukten.;fact;Recipe;Recipe Retrieval;1;4;1
Ähm kannst du mir Gerichte mit Spargel suchen mit möglichst vielen Milchprodukten. Also ich hab überlegt Spargel mit Tomatenrühreiern dann wären drei Gerichte weg ähm aber das passt glaub ich nicht zusammen und keine Ahnung. Also wir brauchen ja irgendeine Soße zu dem zum Spargel.;fact;Recipe;Recipe Retrieval;1;4;2
Also ich hab überlegt Spargel mit Tomatenrühreiern dann wären drei Gerichte weg ähm aber das passt glaub ich nicht zusammen und keine Ahnung. Also wir brauchen ja irgendeine Soße zu dem zum Spargel. Ja oder äh hast du schon was gefunden?;fact;Recipe;Recipe Retrieval;1;6;3
Ja oder äh hast du schon was gefunden? Und was ist die kalorienarme Soße?;fact;Recipe;Recipe Summary;1;10;4
Und was ist die kalorienarme Soße? Ja hast du ein Rezept gefunden?;fact;Recipe;Recipe Retrieval;1;14;5
Ja hast du ein Rezept gefunden? Ja und kannst mir das beschreiben?;fact;Recipe;Recipe Summary;1;16;6
Ja und kannst mir das beschreiben? Welche Zutaten drin sind?;fact;Ingredient;Ingredients in Recipe;1;18;7
Welche Zutaten drin sind? Was ist noch drin Zitronensaft ist auch so ein Gewürz;fact;Ingredient;Ingredients in Recipe;1;20;8
Was ist noch drin Zitronensaft ist auch so ein Gewürz. Mach weiter?;competence;Preparation;Preparation Steps;1;22;9
Mach weiter? Aber ich glaub das schmeckt scheiße das möchte ich nicht kochen.;fact;Recipe;Recipe Retrieval;1;24;10
Aber ich glaub das schmeckt scheiße das möchte ich nicht kochen. Such Soße auf Sahne oder zumindest Milchbasis oder Crème fraîche oder IRgendwas;fact;Recipe;Recipe Retrieval;1;26;11
Such Soße auf Sahne oder zumindest Milchbasis oder Crème fraîche oder IRgendwas. Google mal Spargelgratin was da rauskommt. Ob es sowas gibt.;fact;Recipe;Recipe Retrieval;1;28;12
Google mal Spargelgratin was da rauskommt. Ob es sowas gibt. Also Gemüßeauflauf mit Spargel Tomaten und Paprika mit einer Soße auf ja so einer äh Milch Ei oder Sahnebasis.;fact;Recipe;Recipe Retrieval;1;28;13
Also Gemüßeauflauf mit Spargel Tomaten und Paprika mit einer Soße auf ja so einer äh Milch Ei oder Sahnebasis. Bei welcher Plattform?;fact;Recipe;Request for Information Source;1;30;14
Bei welcher Plattform? Ok kannst du Bewertungen anzeigen?;fact;Recipe;Request for Ratings;1;32;15
Ok kannst du Bewertungen anzeigen? Bewertungen anzeigen bitte.;fact;Recipe;Request for Ratings;1;34;16
Bewertungen anzeigen bitte. Ok dann tu mal die einzelnen Bewertungen her ob da voll viel gut dabei sind oder oder auch mal schlechte;fact;Recipe;Request for Ratings;1;40;17
Ok dann tu mal die einzelnen Bewertungen her ob da voll viel gut dabei sind oder oder auch mal schlechte. Nein ich mein die Bewertungen nicht die Kommentare. Die Bewertungen die STERNEbewertungen.;fact;Recipe;Request for Ratings;1;42;18
Nein ich mein die Bewertungen nicht die Kommentare. Die Bewertungen die STERNEbewertungen. Und dann vielleicht nochmal extra Bewertungen;fact;Recipe;Request for Ratings;1;46;19
Und dann vielleicht nochmal extra Bewertungen. Ja äh was soll der durch also was so die üblichen Bewertungen sind;fact;Recipe;Request for Ratings;1;48;20
Ja äh was soll der durch also was so die üblichen Bewertungen sind. Sind sind oft null Punkte null Sterne dabei oder viele fünf oder;fact;Recipe;Request for Ratings;1;50;21
Sind sind oft null Punkte null Sterne dabei oder viele fünf oder. Ok. Ähm ok dann tu mal das Rezept her was gehört da rein.;fact;Ingredient;Ingredients in Recipe;1;52;22
Ok. Ähm ok dann tu mal das Rezept her was gehört da rein. Ok tu mal die Kommentare her oder les mal das Rezept vor wie man wie man es macht.;competence;Preparation;Preparation Steps;1;54;23
Ok tu mal die Kommentare her oder les mal das Rezept vor wie man wie man es macht. ähm ähm ähm ähm kannst du mal schauen ob es noch andere Rezepte mit Spargelgratin gibt?;fact;Recipe;Recipe Retrieval;1;56;24
ähm ähm ähm ähm kannst du mal schauen ob es noch andere Rezepte mit Spargelgratin gibt? Mhm;fact;Recipe;Recipe Summary;1;58;25
Mhm. dann ähm vielleicht noch ähm ein Salat mit dem Gemüse dazu? mit den Tomaten und den Paprika und vielleicht noch mit den restlichen Eiern Rühreier.;fact;Recipe;Recipe Retrieval;1;62;26
dann ähm vielleicht noch ähm ein Salat mit dem Gemüse dazu? mit den Tomaten und den Paprika und vielleicht noch mit den restlichen Eiern Rühreier. Spargel Eier Tomaten Sahne? Ja.;fact;Recipe;Recipe Retrieval;1;66;27
Spargel Eier Tomaten Sahne? Ja. Kannst du nochmal das mit der besseren Bewertung das Zweite vorlesen.;competence;Preparation;Preparation Steps;1;70;28
Kannst du nochmal das mit der besseren Bewertung das Zweite vorlesen. Les mal einfach die ersten Schritte vor. Was ich machen muss.;competence;Preparation;Preparation Steps;1;74;29
Les mal einfach die ersten Schritte vor. Was ich machen muss. Ok dann dann googel mal als nächstes wie man Spargel richtig schält. WEIßen Spargel.;competence;Cooking technique;Cooking technique - Ingredient;1;78;30
Ok dann dann googel mal als nächstes wie man Spargel richtig schält. WEIßen Spargel. Wie man Spargel richtig schält also ob ich die Enden abschneiden muss. WEIßen Spargel.;competence;Cooking technique;Cooking technique - Ingredient;1;80;31
Wie man Spargel richtig schält also ob ich die Enden abschneiden muss. WEIßen Spargel. Ja. KOMplett;competence;Cooking technique;Cooking technique - Reassurance;1;84;32
Ja. KOMplett. Ok also jetzt hab ich ihn gewaschen und jetzt?;competence;Preparation;Preparation Steps;1;88;33
Ok also jetzt hab ich ihn gewaschen und jetzt? Und die Spitze muss aber nicht weg oder?;competence;Cooking technique;Cooking technique - Reassurance;1;90;34
Und die Spitze muss aber nicht weg oder? aber die Spitzen muss ich dranlassen also meines Wissens bleiben die Spitzen dran kannst du das mal googeln?;competence;Cooking technique;Cooking technique - Ingredient;1;92;35
aber die Spitzen muss ich dranlassen also meines Wissens bleiben die Spitzen dran kannst du das mal googeln? Also das kann dranbleiben. Offenbar.;competence;Cooking technique;Cooking technique - Reassurance;1;96;36
Also das kann dranbleiben. Offenbar. Ich würde mir eigentlich lieber ein Video anschauen zum Spargelschälen geht das?;competence;Cooking technique;Cooking technique - Request for video;1;100;37
Ich würde mir eigentlich lieber ein Video anschauen zum Spargelschälen geht das? Also Spargel schälen und dann in mundgerechte Stücke schneiden heißt es oder?;competence;Preparation;Preparation Steps;1;102;38
