utterance;level_0;level_1;level_2;tp;absatz;seq
Ähm kannst du mir Gerichte mit Spargel suchen mit möglichst vielen Milchprodukten.;fact;Recipe;Recipe Retrieval;1;4;1
Also ich hab überlegt Spargel mit Tomatenrühreiern dann wären drei Gerichte weg ähm aber das passt glaub ich nicht zusammen und keine Ahnung. Also wir brauchen ja irgendeine Soße zu dem zum Spargel.;fact;Recipe;Recipe Retrieval;1;4;2
Ja oder äh hast du schon was gefunden?;fact;Recipe;Recipe Retrieval;1;6;3
Und was ist die kalorienarme Soße?;fact;Recipe;Recipe Summary;1;10;4
Ja hast du ein Rezept gefunden?;fact;Recipe;Recipe Retrieval;1;14;5
Ja und kannst mir das beschreiben?;fact;Recipe;Recipe Summary;1;16;6
Welche Zutaten drin sind?;fact;Ingredient;Ingredients in Recipe;1;18;7
Was ist noch drin Zitronensaft ist auch so ein Gewürz;fact;Ingredient;Ingredients in Recipe;1;20;8
Mach weiter?;competence;Preparation;Preparation Steps;1;22;9
Aber ich glaub das schmeckt scheiße das möchte ich nicht kochen.;fact;Recipe;Recipe Retrieval;1;24;10
Such Soße auf Sahne oder zumindest Milchbasis oder Crème fraîche oder IRgendwas;fact;Recipe;Recipe Retrieval;1;26;11
Google mal Spargelgratin was da rauskommt. Ob es sowas gibt.;fact;Recipe;Recipe Retrieval;1;28;12
Also Gemüßeauflauf mit Spargel Tomaten und Paprika mit einer Soße auf ja so einer äh Milch Ei oder Sahnebasis.;fact;Recipe;Recipe Retrieval;1;28;13
Bei welcher Plattform?;fact;Recipe;Request for Information Source;1;30;14
Ok kannst du Bewertungen anzeigen?;fact;Recipe;Request for Ratings;1;32;15
Bewertungen anzeigen bitte.;fact;Recipe;Request for Ratings;1;34;16
Ok dann tu mal die einzelnen Bewertungen her ob da voll viel gut dabei sind oder oder auch mal schlechte;fact;Recipe;Request for Ratings;1;40;17
Nein ich mein die Bewertungen nicht die Kommentare. Die Bewertungen die STERNEbewertungen.;fact;Recipe;Request for Ratings;1;42;18
Und dann vielleicht nochmal extra Bewertungen;fact;Recipe;Request for Ratings;1;46;19
Ja äh was soll der durch also was so die üblichen Bewertungen sind;fact;Recipe;Request for Ratings;1;48;20
Sind sind oft null Punkte null Sterne dabei oder viele fünf oder;fact;Recipe;Request for Ratings;1;50;21
Ok. Ähm ok dann tu mal das Rezept her was gehört da rein.;fact;Ingredient;Ingredients in Recipe;1;52;22
Ok tu mal die Kommentare her oder les mal das Rezept vor wie man wie man es macht.;competence;Preparation;Preparation Steps;1;54;23
ähm ähm ähm ähm kannst du mal schauen ob es noch andere Rezepte mit Spargelgratin gibt?;fact;Recipe;Recipe Retrieval;1;56;24
Mhm;fact;Recipe;Recipe Summary;1;58;25
dann ähm vielleicht noch ähm ein Salat mit dem Gemüse dazu? mit den Tomaten und den Paprika und vielleicht noch mit den restlichen Eiern Rühreier.;fact;Recipe;Recipe Retrieval;1;62;26
Spargel Eier Tomaten Sahne? Ja.;fact;Recipe;Recipe Retrieval;1;66;27
Kannst du nochmal das mit der besseren Bewertung das Zweite vorlesen.;competence;Preparation;Preparation Steps;1;70;28
Les mal einfach die ersten Schritte vor. Was ich machen muss.;competence;Preparation;Preparation Steps;1;74;29
Ok dann dann googel mal als nächstes wie man Spargel richtig schält. WEIßen Spargel.;competence;Cooking technique;Cooking technique - Ingredient;1;78;30
Wie man Spargel richtig schält also ob ich die Enden abschneiden muss. WEIßen Spargel.;competence;Cooking technique;Cooking technique - Ingredient;1;80;31
Ja. KOMplett;competence;Cooking technique;Cooking technique - Reassurance;1;84;32
Ok also jetzt hab ich ihn gewaschen und jetzt?;competence;Preparation;Preparation Steps;1;88;33
Und die Spitze muss aber nicht weg oder?;competence;Cooking technique;Cooking technique - Reassurance;1;90;34
aber die Spitzen muss ich dranlassen also meines Wissens bleiben die Spitzen dran kannst du das mal googeln?;competence;Cooking technique;Cooking technique - Ingredient;1;92;35
Also das kann dranbleiben. Offenbar.;competence;Cooking technique;Cooking technique - Reassurance;1;96;36
Ich würde mir eigentlich lieber ein Video anschauen zum Spargelschälen geht das?;competence;Cooking technique;Cooking technique - Request for video;1;100;37
Also Spargel schälen und dann in mundgerechte Stücke schneiden heißt es oder?;competence;Preparation;Preparation Steps;1;102;38
Weiter?;competence;Preparation;Preparation Steps;1;104;39
Ja das ähm kannst natürlich überspringen was Kartoffeln und alles betrifft;competence;Preparation;Preparation Steps;1;106;40
Ich will äh jetzt einfach zur Soße springen;competence;Preparation;Preparation Steps;1;108;41
Wie man die Soße zubereitet weil wir haben ja keine Kartoffeln und keinen Lachs deswegen interessiert mich nur der Spargel und nur die Soße.;competence;Preparation;Preparation Steps;1;108;42
Für wie viel Personen ist das Rezept eigentlich das du mir da vorliest?;fact;Amount;Amount of Persons;1;110;43
Ok und die Soße?;competence;Preparation;Preparation Steps;1;116;44
Vor allem bei den Mengenangaben.;fact;Amount;Amount of Ingredients;1;120;45
Kannst du mir die vorlesen;competence;Preparation;Preparation Steps;1;120;46
Ok also der gehört IN die Soße;fact;Ingredient;Ingredients in Recipe;1;122;47
Ok also der gehört IN die Soße;fact;Ingredient;Ingredients in Recipe;1;122;48
Google mal Sahne Ei Soße.;fact;Recipe;Recipe Retrieval;1;122;49
Was war das Erste?;fact;Recipe;Recipe Retrieval;1;124;50
Tu mal her.;fact;Recipe;Recipe Summary;1;128;51
Na was für Zutaten wie man es macht?;fact;Recipe;Recipe Summary;1;130;52
Mhm? Und jetzt;competence;Preparation;Preparation Steps;1;132;53
Wenn man vielleicht googel mal weißen Spargel anbraten;competence;Cooking technique;Cooking technique - Ingredient;1;134;54
Mhm;competence;Preparation;Preparation Steps;1;136;55
Äh nochmal nochmal ähm also was Butter äh Öl in einer Pfanne?;competence;Preparation;Preparation Steps;1;138;56
Weiter?;competence;Preparation;Preparation Steps;1;138;57
Ich würd es dann klein schneiden als kleine Stücke nicht als ganze Spragelstangen also das dauert dann kürzer oder?;competence;Preparation;Preparation Steps;1;140;58
Und die Sahnesoße von dem anderen Gericht was du da gerade vorgelesen hast also das davor;competence;Preparation;Preparation Steps;1;142;59
Wie viel Spa- ähm wie viel muss man nochmal vom Ende wegschneiden vom Spargel?;competence;Cooking technique;Cooking technique - Question regarding specific step;1;144;60
Zwei bis drei Zentimeter?;competence;Cooking technique;Cooking technique - Reassurance;1;146;61
Zwei bis drei.;competence;Cooking technique;Cooking technique - Reassurance;1;148;62
Also frischer Spargel? Ein bis zwei;competence;Cooking technique;Cooking technique - Reassurance;1;150;63
So dann äh les mal das Soße wieder vor;competence;Preparation;Preparation Steps;1;152;64
Ja lies vor?;competence;Preparation;Preparation Steps;1;154;65
Wie viel Mehl?;fact;Amount;Amount of Ingredients;1;156;66
Und äh wie viel Sahne und so? Also les mal die Mengenangaben vor;fact;Amount;Amount of Ingredients;1;158;67
Oder für wie viel Personen ist das?;fact;Amount;Amount of Persons;1;158;68
150 Milliliter.;fact;Amount;Amount of Ingredients;1;166;69
Kommen in die Soße Rühreier rein?;fact;Ingredient;Ingredients in Recipe;1;168;70
Die gehört aber nicht in die Soße.;fact;Ingredient;Ingredients in Recipe;1;170;71
Die gehört aber nicht in die Soße.;fact;Ingredient;Ingredients in Recipe;1;170;72
Kannst du mir nochmal die Schritte für die SOße vorlesen also und nicht mit mit Schinken anbraten sondern erst bei der Soße dann anfangen.;competence;Preparation;Preparation Steps;1;172;73
Wie viel Brühe war es? 100 irgendwas Milliliter oder?;fact;Amount;Amount of Ingredients;1;174;74
100 irgendwas Milliliter oder?;fact;Amount;Amount of Ingredients;1;174;75
Was also ich brate jetzt dann den Spargel an und dann kommt Mehl- und Paprikapulver dazu und dann gieß ich es mit der Brühe auf.;competence;Preparation;Preparation Steps;1;176;76
Ja also dann kommt die GeMÜsebrühe dazu zu der Sahnesoße und dann kommt noch die Sahne dazu oder?;competence;Preparation;Preparation Steps;1;184;77
Ja;competence;Preparation;Preparation Steps;1;186;78
Äh tu noch mal beim Spargel anbraten schauen wie Ähm ob man den auf mittlerer Hitze anbraten muss und nochmal die Minutenzahl ich glaub sechs bis sieben Minuten.;competence;Preparation;Preparation Steps;1;188;79
ob man den auf mittlerer Hitze anbraten muss und nochmal die Minutenzahl ich glaub sechs bis sieben Minuten.;fact;Temperature;Temperature Reassurance;1;188;80
Ähm bei welcher Hitze also mittlerer Hitze starke Hitze schwache Hitze So ich mach jetzt zwischen mittel und stark.;competence;Preparation;Preparation Steps;1;190;81
Ähm bei welcher Hitze also mittlerer Hitze starke Hitze schwache Hitze;fact;Temperature;Temperature explicit;1;190;82
Aber mittlerer Hitze das wollte ich wissen.;fact;Time;Cooking Time Reassurance;1;192;83
Hä? Das waren die ganzen Spargelstangen oder?;fact;Ingredient;Ingredient - Texture,Appearance;1;192;84
Hä? Das waren die ganzen Spargelstangen oder?;fact;Ingredient;Ingredient - Texture,Appearance;1;192;85
Ja? Mittlere Hitze wollte ich wissen.;fact;Time;Cooking Time Reassurance;1;196;86
Also nochmal die Minutenzahl für KLEIN geschnittenen Spargel?;fact;Time;Cooking Time;1;196;87
Die Milliliterzahl von der Gemüsebrühe;fact;Amount;Amount of Ingredients;1;198;88
Und bei der Sahne?;fact;Amount;Amount of Ingredients;1;200;89
Google mal Rühreier als Beilage wie viele pro Person;fact;Amount;Amount of Persons;1;202;90
Google mal Tomaten und Spargel. Ob das zusammenpasst.;fact;Ingredient;Ingredient composition;1;208;91
Also nochmal Tomaten und Spargel. Was es da so für Gerichte gibt.;fact;Recipe;Recipe Retrieval;1;208;92
Ne;fact;Recipe;Recipe Retrieval;1;210;93
Passen Rühreier zu Spargel;fact;Ingredient;Ingredient composition;1;212;94
Ja kannst googeln aber;fact;Ingredient;Ingredient composition;1;214;95
Echt? Les mal vor;competence;Preparation;Preparation Steps;1;216;96
Ja wie man die Soße jetzt macht.;fact;Recipe;Recipe Summary;1;220;97
Ähm Mehl war dreiviertel Esslöffel.;fact;Amount;Amount of Ingredients;1;222;98
Ähm Mehl war dreiviertel Esslöffel.;fact;Amount;Amount of Ingredients;1;222;99
Und dann?;competence;Preparation;Preparation Steps;1;224;100
Derweil kochen lassen gell?;competence;Preparation;Preparation Steps;1;224;101
Und dann die Sahne dazugeben;competence;Preparation;Preparation Steps;1;224;102
Und dann Salz und Pfeffer? oder;competence;Preparation;Preparation Steps;1;226;103
Okay. Alex Schau bitte nach Rezepten für eine Biersuppe mit ähm mit Sahne und Weißbier und Butter und Mehl.;fact;Recipe;Recipe Retrieval;2;1;1
Okay. Alex Schau bitte nach Rezepten für eine Biersuppe mit ähm mit Sahne und Weißbier und Butter und Mehl.;fact;Recipe;Recipe Retrieval;2;1;2
Kannst du mir sagen wie ich was da genau alles drin ist?;fact;Ingredient;Ingredients in Recipe;2;7;3
Mhm?;competence;Preparation;Preparation Steps;2;11;4
Ok das heißt erst mal Kannst du das nochmal langsam bitte machen?;competence;Preparation;Preparation Steps;2;13;5
Erst mal die ZuTAten dass ich die alle herräumen kann.;fact;Ingredient;Ingredients in Recipe;2;15;6
Also ich brauch Butter? ähm ein Ei? oder ein EiGELB glaub ich hast du gesagt?;fact;Ingredient;Ingredients in Recipe;2;21;7
Ähm Das heißt Sahne Eigelb Zucker Bier. Mehr ist nicht drin.;fact;Ingredient;Ingredients in Recipe;2;23;8
Ähm Das heißt Sahne Eigelb Zucker Bier. Mehr ist nicht drin.;fact;Ingredient;Ingredients in Recipe;2;23;9
Die kommt aber am Anfang schon mit mit rein.;fact;Ingredient;Ingredient addition point in time;2;23;10
Die kommt aber am Anfang schon mit mit rein.;fact;Ingredient;Ingredient addition point in time;2;23;11
Also am Anfang ähm wird quasi jetzt das äh das Bier erhitzt einfach wahrscheinlich?;competence;Preparation;Preparation Steps;2;25;12
Wie viel Eigelb brauch ich?;fact;Amount;Amount of Ingredients;2;27;13
Eins.;fact;Amount;Amount of Ingredients;2;29;14
Und das Eigelb mit dem Zucker vermischen?;competence;Preparation;Preparation Steps;2;37;15
Wie viel Zucker?;fact;Amount;Amount of Ingredients;2;39;16
Da kommt jetzt der Zucker rein?;fact;Ingredient;Ingredients in Recipe;2;39;17
Da kommt jetzt der Zucker rein?;fact;Ingredient;Ingredients in Recipe;2;39;18
Das wird jetzt verrührt? Das das soll man verrühren hat es geheißen oder?;competence;Preparation;Preparation Steps;2;41;19
Ok. Und welche Hitze soll man verwenden?;fact;Temperature;Temperature explicit;2;45;20
Und was für Gewürze sind da noch mit drin?;fact;Ingredient;Ingredients in Recipe;2;49;21
Das ist bloß ein Ei mit Sahne und;fact;Ingredient;Ingredients in Recipe;2;51;22
Auf niedriger Hitze jetzt kochen lassen dann.;competence;Preparation;Preparation Steps;2;55;23
